SadOrHopeless,sad_binary,HowMuchDoYouWeighWithoutShoesInKG,CurrentCigaretteUse,smoker_binary,smoking_freq_group,smoking_freq_score,HowOldAreYou,age_label,age_group
2.0,0.0,68.49,1.0,0.0,,,4.0,15,15
1.0,1.0,45.36,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
1.0,1.0,60.78,1.0,0.0,,,5.0,16,16
2.0,0.0,106.6,,,,,4.0,15,15
2.0,0.0,77.11,1.0,0.0,,,4.0,15,15
,,82.56,,,,,4.0,15,15
1.0,1.0,55.34,,,,,4.0,15,15
1.0,1.0,90.72,,,,,5.0,16,16
1.0,1.0,54.43,,,,,4.0,15,15
1.0,1.0,59.42,,,,,4.0,15,15
1.0,1.0,65.77,1.0,0.0,,,4.0,15,15
1.0,1.0,54.43,,,,,3.0,14,<=14
1.0,1.0,49.9,,,,,5.0,16,16
,,,,,,,3.0,14,<=14
2.0,0.0,54.43,,,,,4.0,15,15
1.0,1.0,56.7,,,,,4.0,15,15
1.0,1.0,56.7,1.0,0.0,,,4.0,15,15
1.0,1.0,56.25,,,,,4.0,15,15
2.0,0.0,95.26,,,,,4.0,15,15
2.0,0.0,54.43,,,,,3.0,14,<=14
1.0,1.0,61.24,,,,,5.0,16,16
1.0,1.0,77.11,,,,,4.0,15,15
1.0,1.0,,,,,,4.0,15,15
1.0,1.0,65.77,,,,,3.0,14,<=14
1.0,1.0,77.11,,,,,4.0,15,15
1.0,1.0,61.24,,,,,5.0,16,16
1.0,1.0,68.04,,,,,3.0,14,<=14
1.0,1.0,,,,,,4.0,15,15
1.0,1.0,51.71,1.0,0.0,,,4.0,15,15
1.0,1.0,58.06,,,,,3.0,14,<=14
1.0,1.0,65.77,1.0,0.0,,,7.0,18+,18+
1.0,1.0,54.43,,,,,7.0,18+,18+
1.0,1.0,,,,,,6.0,17,17
1.0,1.0,79.83,,,,,6.0,17,17
1.0,1.0,62.14,,,,,6.0,17,17
1.0,1.0,64.86,,,,,6.0,17,17
1.0,1.0,56.7,1.0,0.0,,,7.0,18+,18+
1.0,1.0,104.33,,,,,7.0,18+,18+
1.0,1.0,72.58,,,,,7.0,18+,18+
1.0,1.0,64.86,,,,,7.0,18+,18+
1.0,1.0,77.11,,,,,6.0,17,17
1.0,1.0,52.16,,,,,7.0,18+,18+
1.0,1.0,54.43,,,,,7.0,18+,18+
2.0,0.0,79.38,,,,,6.0,17,17
2.0,0.0,,,,,,7.0,18+,18+
1.0,1.0,68.95,,,,,6.0,17,17
1.0,1.0,90.72,,,,,7.0,18+,18+
1.0,1.0,58.06,,,,,7.0,18+,18+
1.0,1.0,92.99,,,,,7.0,18+,18+
1.0,1.0,56.25,,,,,6.0,17,17
,,61.24,,,,,6.0,17,17
1.0,1.0,79.83,,,,,6.0,17,17
1.0,1.0,56.7,,,,,7.0,18+,18+
1.0,1.0,46.27,,,,,7.0,18+,18+
1.0,1.0,,1.0,0.0,,,7.0,18+,18+
1.0,1.0,63.5,,,,,6.0,17,17
2.0,0.0,87.09,,,,,7.0,18+,18+
,,77.11,,,,,7.0,18+,18+
1.0,1.0,58.06,,,,,7.0,18+,18+
1.0,1.0,68.04,1.0,0.0,,,5.0,16,16
1.0,1.0,,1.0,0.0,,,4.0,15,15
,,66.23,,,,,5.0,16,16
2.0,0.0,,,,,,5.0,16,16
1.0,1.0,53.07,,,,,4.0,15,15
2.0,0.0,54.43,,,,,5.0,16,16
1.0,1.0,49.9,,,,,4.0,15,15
1.0,1.0,53.52,,,,,6.0,17,17
2.0,0.0,53.52,,,,,5.0,16,16
1.0,1.0,,,,,,,,
1.0,1.0,58.97,,,,,5.0,16,16
1.0,1.0,65.77,7.0,1.0,Frequent (20~30 days),7.0,5.0,16,16
2.0,0.0,65.77,,,,,7.0,18+,18+
1.0,1.0,47.63,,,,,7.0,18+,18+
2.0,0.0,56.7,1.0,0.0,,,7.0,18+,18+
,,58.97,,,,,6.0,17,17
1.0,1.0,56.7,,,,,5.0,16,16
2.0,0.0,,,,,,5.0,16,16
1.0,1.0,,,,,,6.0,17,17
,,,,,,,6.0,17,17
,,49.9,,,,,6.0,17,17
1.0,1.0,52.16,,,,,6.0,17,17
1.0,1.0,55.79,,,,,5.0,16,16
1.0,1.0,71.22,,,,,6.0,17,17
1.0,1.0,53.52,,,,,6.0,17,17
2.0,0.0,52.62,,,,,5.0,16,16
1.0,1.0,58.97,,,,,6.0,17,17
1.0,1.0,63.5,,,,,6.0,17,17
1.0,1.0,72.58,,,,,6.0,17,17
1.0,1.0,68.95,,,,,6.0,17,17
1.0,1.0,58.51,,,,,4.0,15,15
2.0,0.0,62.6,,,,,6.0,17,17
1.0,1.0,52.16,,,,,6.0,17,17
1.0,1.0,,,,,,5.0,16,16
1.0,1.0,54.43,1.0,0.0,,,6.0,17,17
1.0,1.0,57.61,,,,,6.0,17,17
1.0,1.0,65.77,,,,,4.0,15,15
1.0,1.0,46.72,,,,,6.0,17,17
1.0,1.0,,,,,,6.0,17,17
1.0,1.0,57.15,,,,,6.0,17,17
1.0,1.0,47.63,,,,,6.0,17,17
1.0,1.0,,,,,,6.0,17,17
1.0,1.0,,,,,,5.0,16,16
2.0,0.0,54.43,1.0,0.0,,,3.0,14,<=14
2.0,0.0,55.34,1.0,0.0,,,4.0,15,15
2.0,0.0,95.71,2.0,1.0,Light (1~5 days),2.0,4.0,15,15
2.0,0.0,68.95,1.0,0.0,,,5.0,16,16
2.0,0.0,87.54,1.0,0.0,,,4.0,15,15
2.0,0.0,65.32,1.0,0.0,,,4.0,15,15
1.0,1.0,72.12,1.0,0.0,,,3.0,14,<=14
2.0,0.0,83.01,,,,,4.0,15,15
1.0,1.0,116.58,1.0,0.0,,,4.0,15,15
1.0,1.0,,1.0,0.0,,,5.0,16,16
1.0,1.0,55.34,1.0,0.0,,,4.0,15,15
2.0,0.0,53.98,2.0,1.0,Light (1~5 days),2.0,3.0,14,<=14
2.0,0.0,,1.0,0.0,,,3.0,14,<=14
2.0,0.0,56.25,1.0,0.0,,,4.0,15,15
2.0,0.0,45.36,7.0,1.0,Frequent (20~30 days),7.0,3.0,14,<=14
1.0,1.0,52.16,1.0,0.0,,,3.0,14,<=14
1.0,1.0,56.25,1.0,0.0,,,4.0,15,15
1.0,1.0,52.16,1.0,0.0,,,3.0,14,<=14
1.0,1.0,61.69,6.0,1.0,Frequent (20~30 days),6.0,4.0,15,15
2.0,0.0,56.7,1.0,0.0,,,4.0,15,15
2.0,0.0,61.24,5.0,1.0,Moderate (6~19 days),5.0,4.0,15,15
2.0,0.0,73.94,1.0,0.0,,,4.0,15,15
2.0,0.0,61.24,2.0,1.0,Light (1~5 days),2.0,4.0,15,15
2.0,0.0,49.9,1.0,0.0,,,4.0,15,15
2.0,0.0,64.41,1.0,0.0,,,4.0,15,15
2.0,0.0,72.58,7.0,1.0,Frequent (20~30 days),7.0,5.0,16,16
2.0,0.0,70.31,7.0,1.0,Frequent (20~30 days),7.0,4.0,15,15
2.0,0.0,74.84,1.0,0.0,,,5.0,16,16
2.0,0.0,64.41,1.0,0.0,,,4.0,15,15
1.0,1.0,44.45,1.0,0.0,,,5.0,16,16
2.0,0.0,56.7,1.0,0.0,,,5.0,16,16
2.0,0.0,68.04,5.0,1.0,Moderate (6~19 days),5.0,5.0,16,16
2.0,0.0,,5.0,1.0,Moderate (6~19 days),5.0,5.0,16,16
2.0,0.0,69.4,6.0,1.0,Frequent (20~30 days),6.0,4.0,15,15
1.0,1.0,43.09,1.0,0.0,,,5.0,16,16
